adc_id,activity_id,standard_type,relation,value_numeric,units,payload_mechanism,reason
DRG0RMADH,ADCC001936,Half Maximal Effective Concentration (EC50),=,3.9,ug/mL,Other,non_molar_or_missing_value
DRG0RVKKH,ADCC001911,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
DRG0RVKKH,ADCC001912,Half Maximal Effective Concentration (EC50),=,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0RWYVW,ADCC001977,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
DRG0RWYVW,ADCC001978,Half Maximal Effective Concentration (EC50),=,12.0,ug/mL,Other,non_molar_or_missing_value
DRG0RYHHB,ADCC001869,Half Maximal Effective Concentration (EC50),=,7.03,ug/mL,Other,non_molar_or_missing_value
DRG0RYHHB,ADCC001870,Half Maximal Effective Concentration (EC50),>,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0SHYWZ,ADCC001891,Half Maximal Effective Concentration (EC50),=,0.55,ug/mL,Other,non_molar_or_missing_value
DRG0SHYWZ,ADCC001892,Half Maximal Effective Concentration (EC50),>,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0SRATX,ADCC001953,Half Maximal Effective Concentration (EC50),=,0.09,ug/mL,Other,non_molar_or_missing_value
DRG0SRATX,ADCC001954,Half Maximal Effective Concentration (EC50),=,36.8,ug/mL,Other,non_molar_or_missing_value
DRG0SYDXK,ADCC001943,Half Maximal Effective Concentration (EC50),=,0.04,ug/mL,Other,non_molar_or_missing_value
DRG0SYDXK,ADCC001944,Half Maximal Effective Concentration (EC50),=,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0SZERO,ADCC000758,Tumor Growth Inhibition value (TGI),=,0.0,%,microtubule-disrupting,non_potency_endpoint
DRG0SZERO,ADCC000754,Tumor Growth Inhibition value (TGI),=,80.0,%,microtubule-disrupting,non_potency_endpoint
DRG0SZERO,ADCC000756,Tumor Growth Inhibition value (TGI),=,100.0,%,microtubule-disrupting,non_potency_endpoint
DRG0SZERO,ADCC000752,Tumor Growth Inhibition value (TGI),=,100.0,%,microtubule-disrupting,non_potency_endpoint
DRG0TEJEI,ADCC001967,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
DRG0TEJEI,ADCC001968,Half Maximal Effective Concentration (EC50),=,2.8,ug/mL,Other,non_molar_or_missing_value
DRG0TRBER,ADCC002257,Half Maximal Effective Concentration (EC50),=,0.05,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0TVSRK,ADCC001889,Half Maximal Effective Concentration (EC50),=,2.18,ug/mL,Other,non_molar_or_missing_value
DRG0TVSRK,ADCC001890,Half Maximal Effective Concentration (EC50),>,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0VIDMZ,ADCC002525,Half Maximal Inhibitory Concentration (IC50),=,2.7,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0VIDMZ,ADCC002526,Half Maximal Inhibitory Concentration (IC50),=,14.7,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0VMKDY,ADCC003807,Half Maximal Inhibitory Concentration (IC50),>,3.0,nM,microtubule-disrupting,ambiguous_censored_value
DRG0VMKDY,ADCC003804,Half Maximal Inhibitory Concentration (IC50),>,3.0,nM,microtubule-disrupting,ambiguous_censored_value
DRG0VMKDY,ADCC003803,Half Maximal Inhibitory Concentration (IC50),>,3.0,nM,microtubule-disrupting,ambiguous_censored_value
DRG0VMKDY,ADCC003801,Half Maximal Inhibitory Concentration (IC50),>,3.0,nM,microtubule-disrupting,ambiguous_censored_value
DRG0VMKDY,ADCC003800,Half Maximal Inhibitory Concentration (IC50),>,3.0,nM,microtubule-disrupting,ambiguous_censored_value
DRG0VMKDY,ADCC003797,Half Maximal Inhibitory Concentration (IC50),>,3.0,nM,microtubule-disrupting,ambiguous_censored_value
DRG0VMKDY,ADCC003794,Half Maximal Inhibitory Concentration (IC50),>,3.0,nM,microtubule-disrupting,ambiguous_censored_value
DRG0VQNHE,ADCC002255,Half Maximal Effective Concentration (EC50),=,0.08,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0VWVOU,ADCC006209,Inhibition rate (50 nM),=,92.0,%,microtubule-disrupting,non_potency_endpoint
DRG0VWVOU,ADCC006205,80% Effective Dose (ED80),=,0.7,nM,microtubule-disrupting,non_potency_endpoint
DRG0WRMGX,ADCC001969,Half Maximal Effective Concentration (EC50),=,0.8,ng/mL,Other,non_molar_or_missing_value
DRG0WRMGX,ADCC001970,Half Maximal Effective Concentration (EC50),=,10.7,ug/mL,Other,non_molar_or_missing_value
DRG0WWBCV,ADCC008158,Max inhibition rate (MIR),=,54.0,%,microtubule-disrupting,non_potency_endpoint
DRG0WWBCV,ADCC008153,Max inhibition rate (MIR),=,69.0,%,microtubule-disrupting,non_potency_endpoint
DRG0WWBCV,ADCC008148,Max inhibition rate (MIR),=,69.0,%,microtubule-disrupting,non_potency_endpoint
DRG0WWBCV,ADCC008173,Max inhibition rate (MIR),=,79.0,%,microtubule-disrupting,non_potency_endpoint
DRG0WWBCV,ADCC008183,Max inhibition rate (MIR),=,95.0,%,microtubule-disrupting,non_potency_endpoint
DRG0WWBCV,ADCC008168,Max inhibition rate (MIR),=,97.0,%,microtubule-disrupting,non_potency_endpoint
DRG0WWBCV,ADCC008163,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0WWBCV,ADCC008178,Max inhibition rate (MIR),=,100.0,%,microtubule-disrupting,non_potency_endpoint
DRG0WXQJL,ADCC002350,Half Maximal Inhibitory Concentration (IC50),=,0.1,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002332,Half Maximal Inhibitory Concentration (IC50),=,0.1,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002358,Half Maximal Inhibitory Concentration (IC50),=,0.2,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002357,Half Maximal Inhibitory Concentration (IC50),=,0.2,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002356,Half Maximal Inhibitory Concentration (IC50),=,0.2,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002355,Half Maximal Inhibitory Concentration (IC50),=,0.2,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002341,Half Maximal Inhibitory Concentration (IC50),=,0.2,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002343,Half Maximal Inhibitory Concentration (IC50),=,0.4,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002344,Half Maximal Inhibitory Concentration (IC50),=,0.9,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002335,Half Maximal Inhibitory Concentration (IC50),=,1.0,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002326,Half Maximal Inhibitory Concentration (IC50),=,3.0,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002346,Half Maximal Inhibitory Concentration (IC50),=,5.0,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002354,Half Maximal Inhibitory Concentration (IC50),=,6.0,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002333,Half Maximal Inhibitory Concentration (IC50),=,6.0,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002334,Half Maximal Inhibitory Concentration (IC50),=,7.0,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002327,Half Maximal Inhibitory Concentration (IC50),=,7.0,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002336,Half Maximal Inhibitory Concentration (IC50),>,7.5,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0WXQJL,ADCC002345,Half Maximal Inhibitory Concentration (IC50),=,11.0,ng/mL,DNA-damaging,non_molar_or_missing_value
